Posisi,Perusahaan,Lokasi,URL,Deskripsi
Data Scientist,PT IDStar Cipta Teknologi,Jakarta Selatan,https://id.jobstreet.com/id/job/82136640?type=standard&ref=search-standalone,"ResponsibilitiesConducting ambitious projects in the transformation of clients through data ;Collaborating with the other Divisions (Activation, Creativity, and Strategy) to provide comprehensive services to your clients ;Developing privileged relationships with our clients, using your technical abilities to assist in the transformation of their marketing department.Securing delivery on your projectsCommunicating your work and achievements among the teamWorking closely with your Consulting counterpart to build and maintain strong relationships with your clients and best understand their needsEnsuring that your solutions are bringing value to the client's problematicBeing a good team player, knowing your role and responsibility in the global ambitionDemonstrating the skill and credibility required to ensure the success of our clients’ initiativesResearching and developing new technical approaches to address problems efficientlySharing best practices and contributing to Artefact’s institutional knowledgeEmbodying Artefact’s values and inspiring others to do the sameQualificationsA Bachelor's or Master's degree in machine learning, mathematics, computer science, or related fieldsAt least 5 years of hands-on experience developing and applying data-driven solutions in a corporate or consulting setting, preferably in a consumer marketing context (experience in the web industry is a plus)Fluent in English is a mustExperience in creating Large Language Models (LLM) and familiarity with any technologies related with LLMStrong knowledge of data processing, data modeling, algorithms, and data architectureIntellectual curiosity and excellent problem-solving skills, including the ability to structure and prioritize an approach for maximum impactExperience working in a big company is a plusHaving experience with cloud platforms such as GCP"
Claim Analyst,Pengiklan Anonim,Jakarta Selatan,https://id.jobstreet.com/id/job/82136443?type=standard&ref=search-standalone,Kualifikasi:Usia maks. 35 tahunMin. D3 Perawat / KebidananMemiliki pengalaman min. 1 tahun  sebagai Claim AnalystMenguasai MS. OfficeBenefit:Gaji dan TunjanganTHRBPJS Kesehatan dan Tenaga KerjaNo ShiftingDeskripsi Pekerjaan:Menganalisis dan memproses klaim asuransi kesehatan sesuai dengan prosedur dan ketentuan yang berlakuMemverifikasi data dan dokumen klaimMelakukan komunikasi dengan pihak terkait mengenai proses klaim asuransiMenyusun laporan analisis klaimMelaksanakan tugas-tugas lain yang diberikan oleh atasan yang berkaitan dengan analisis klaim
Sales Analyst & Operation Support,PT Eka Mas Republik,Jakarta Raya,https://id.jobstreet.com/id/job/82136066?type=standard&ref=search-standalone,"Becoming a leading multimedia business in fiber broadband and interactive TV cable, MyRepublic a member of Sinar Mas, subsidiaries of PT Dian Swastatika Sentosa Tbk, currently are looking for potential candidate to be employed as Sales Analyst & Operation Support.Qualifications:Minimum Bachelor Degree in any field, preferably from statistics/ mathematics/ computer science from reputable university with minimum GPA 3.3Good computer skill (especially Excel)Willing to learn all fields & fast learnerFresh graduates are welcomed to applyAll confidentiality of submitted applicant data is the company's priority. Only shortlisted candidates will be notified."
Business Specialist,ENO INTERNATIONAL TRADING INC.,Jakarta Raya,https://id.jobstreet.com/id/job/82135994?type=standard&ref=search-standalone,"What you'll be doing1. Flexibly use various resources to develop new customers and screen effective customers2. Understand the local market environment and expand customers3. Collect local industry market information and fully open up channels for the company's development4. Maintain customer relationships and cooperate with superiors to carry out the next step of work progressWhat we're looking for1. Worked overseas for more than 1 year2. Have connections in the Indonesian gaming industry3. Strong self-motivation and stress resistance4. College degree or above, fluent in Chinese"
Pricing Analyst,PT KEX NEX EXPRESS,Jakarta Timur,https://id.jobstreet.com/id/job/82135044?type=standard&ref=search-standalone,"Requirements :Bachelor’s Degree in Economics, Business, Accounting, Finance, Management Industry (Fresh Graduate is welcome)Strong Analytical Skill, attention to detail, and good in AccuracyProficient in MS. Office especially in Ms. ExcelProficient in English, able to speak mandarin is a plusEffective Communication SkillsStrong Project Management and Organizational SkillsAbility to work independently as well as part of TeamHave Experience in International Logistics Company is a good pointHigh integrityAble to join immediately"
Senior Treasury and Loan Channeling Operations,PT Sejahtera Sama Kita,Jakarta Selatan,https://id.jobstreet.com/id/job/82134613?type=standard&ref=search-standalone,"Key Responsibilities:Reconciliation-Perform daily and monthly reconciliations to confirm transaction data accuracy and Investigate discrepancies, identify root causes, and address process gaps.Issue Resolution-Troubleshoot and resolve operational or technical issues to ensure seamless product delivery.Daily Finance Operations -Manage both automated and manual processing of financial transactions and service requests.External Partner Liaison-Coordinate daily with business partners and banks to address and resolve issues.Cross-Functional Collaboration -Work with internal teams to diagnose challenges, develop solutions, and update standard operating procedures.Process Improvement- Propose and implement enhancements to existing processes to boost efficiency, reduce errors, and improve SOPs.Ad-Hoc Projects -Contribute to ad-hoc projects as needed.Minimum Qualifications:Bachelor’s degree in Business, Accounting, Economics, or a related quantitative discipline.At least 3 years’ experience in payment services or the finance industry.Excellent verbal and written command of English.Proficiency in using spreadsheets and formulas for data analysis.Ability to work independently in a fast-paced, demanding environment.Prior experience and has knowledges of Loan Channeling would be an advantage.Willing to be placed at SCBD area."
Database Developer & Analyst,Geekhunter,Bali,https://id.jobstreet.com/id/job/82134364?type=standard&ref=search-standalone,"Job ResponsibilitiesDevelop and maintain complex SQL queries, stored procedures, functions, and triggers to support various business processes.Design, optimize, and troubleshoot database schemas for performance and scalability, particularly within the context of very large databases.Collaborate with cross-functional teams to gather requirements and translate them into technical solutions.Utilize VBA to automate tasks and enhance functionality within MS Access applications.Design and develop user-friendly MS Access forms for data entry and reporting.Create and customize MS Access reports to present data in a clear and actionable format.Perform data analysis and provide insights to stakeholders through reporting and visualization tools.Ensure data integrity, security, and compliance with best practices and regulatory requirements.Participate in the deployment and maintenance of database systems, including upgrades and patches.Provide technical support and training to end-users on database applications and tools.Stay updated on industry trends and best practices in database development, VBA, and MS Access.Familiarity with C#, .NET web development and Blazor knowledge is a plus.Customer requirements for new implementations, willingness to communicateSkill and ExperienceBachelor's degree in Computer Science, Information Technology, or related field (or equivalent experience).Extensive experience (4+ years) indeveloping and optimizing complex SQL queries, stored procedures, functions, and triggers inMS SQL Server, particularly within the context of very large databases.Proficiency in VBA programming for automation and customization within MS Access environments.Strong expertise in designing and developing MS Access forms for data entry and reporting.Experience in creating and customizing MS Access reports.Experience with data analysis and visualization tools (e.g., Power BI, Tableau) is a plus.Excellent problem-solving skills with a meticulous attention to detail.Familiarity with .NET web development and Blazor is a plus.Ability to work independently and collaboratively in a fast-paced environment.Effective communication skills with the ability to convey technical concepts to non-technical stakeholders.Relevant certifications (e.g., Microsoft Certified: Azure Database Administrator Associate) are a plus.Desire to collaborate with global peers in 20 countries"
Account Executive (Research & Consulting Industry),PT Katadata Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/82133455?type=standard&ref=search-standalone,"Katadata Insight Center (KIC) is a business unit of Katadata, specialized in research and data analytic, providing in-depth insight. To support our expanding operations, we are currently seeking professional and dynamic individual Account Executive to join our team with the following qualifications:Bachelor’s degree in Business, Marketing, Communication or related field from reputable university (Master’s degree is a plus).Strong knowledge of market and social research, data analytics, stakeholder engagement, and advisory services.Minimum 2 years of experience as an Account Executive in the research and consulting industry; additional experience in publication, communication, and activation solutions is preferred.Excellent communication, presentation, and negotiation skills with the ability to build long-term relationships with diverse clients.Strategic and results-driven mindset with a passion for achieving sales and exceeding targets.Proactive, strategic thinker with strong problem-solving skills and the ability to work in demanding work environment.Fluent in English.Job Descriptions:Identify, approach, and develop relationships with potential clients to expand business opportunities.Develop tailored business proposals and collaborate with internal teams (research, analytic, communication, publication, event, and support) to deliver the best result.Attends business meetings, industry events, and networking opportunities to stay informed about market trends, business development, and key stakeholders in the research and consulting sector.Monitor industry trends and competitor activities to identify new business opportunities and maintain competitive advantage.Engage with clients to understand their research, analytics, data, and advisory needs while integrating communication and activation strategies to maximize impact.Build and maintain long-term relationships with clients, partners, and internal teams to enhance customer experience and satisfaction.Ensure seamless project execution and client’s satisfaction through personalized services."
Scientific Consultant,RAVI INSTITUTE,Jakarta Raya,https://id.jobstreet.com/id/job/82126962?type=standard&ref=search-standalone,"As aScientific Consultant, you will play a crucial role in supporting the development and delivery of scientific reports for our clients. Working under the guidance of senior consultants, you will contribute to various aspects of the report writing process.Your responsibilities will include:Assisting in the research and gathering of relevant scientific data and information from various sources.Collaborating with subject matter experts and stakeholders to understand project requirements and objectives.Contributing to the writing, editing, and formatting of scientific reports, ensuring accuracy, clarity, and adherence to client specifications.Conducting literature reviews and synthesizing findings to support the development of report content.Analyzing and interpreting scientific data, charts, and graphs to effectively communicate key findings and insights.Assisting in the preparation of presentations, proposals, and other materials related to scientific reports.Managing project timelines, milestones, and deliverables to ensure timely completion and client satisfaction.Keeping abreast of developments in scientific research, methodologies, and best practices.Requirements:Master's degreeinSocial Sciencesuch as anthropology, business, economics, law, linguistics, management science, communication science, psychology and political science or related disciplines.Previous experience with scientific research in reputable publisher is preferred.Work on-site or remote environment.Strong written and verbal communication skills, with the ability to convey complex scientific concepts clearly and effectively.Excellent research and analytical skills, with attention to detail and accuracy.Proficiency in scientific writing, including the ability to interpret and summarize technical information for diverse audiences.Familiarity with scientific databases, literature search techniques, and citation styles using Mendeley (e.g., APA, MLA, Chicago, etc).Ability to work collaboratively in a team environment and manage multiple tasks and priorities effectively.Ability to working within deadlines.Proficiency in Microsoft Office and other relevant software applications.A passion for Social Science and a desire to contribute to meaningful projects and initiatives.Benefits:Competitive salary commensurate with experienceAchievement costs, overtime costs, BPJS and 2 times bonus in a yearProfessional development opportunitiesCollaborative and inclusive work environmentOpportunity to work on diverse projects and make a meaningful impactJoin our team of dedicated professionals and embark on a rewarding career in scientific consulting.  Apply now to become a Scientific Consultant and contribute to cutting-edge research and innovation across industries."
"Staf Operasional Pangkalan Data, Penjaminan Mutu & Akreditasi",Paramount Enterprise,Tangerang,https://id.jobstreet.com/id/job/82132672?type=standard&ref=search-standalone,"Tugas dan Tanggung Jawab:Mengoperasikan pangkalan dataMengoperasikan SiakadMengoperasikan PDDikti, Neo Feeder, Sister, dan websiteMembantu ketua UPMI dalam hal administrasi UPMIMemfasilitasi kesiapan kebutuhan dokumen mutuMembantu pelaksanaan kegiatan terkait pengembangan penjaminan mutuMembantu pengelolaan dan pembaharuan berbagai laporan dan kegiatan di website UPMITerlibat membantu UPMI dalam melengkapi data-data UPMI yang dibutuhkan ketika akreditasi prodi tertentuMengatur penyimpanan dan penataan dokumen mutuMembantu mempersiapkan kebutuhan dokumen pelaksanaan AMI Setiap ProdiKualifikasi:Min. pendidikan S1 Manajemen / Administrasi / SI/ TIMemiliki pengalaman kerja sebagai pangkalan data & penjaminan mutu internal di bidang pendidikan min. 1 tahunMampu mengelola administrasi surat menyurat dan menata dokumen-dokumen dengan baikMampu mengoperasikan Ms. Office & menguasai google formMampu membuat master data dalam bentuk Ms. ExcelMemahami bahasa pemrogramanMemiliki kemampuan komunikasi yang baikBersedia ditempatkan di Gading Serpong, Tangerang"
